GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
swiss-qrbill-enterprise,com.exata.swissqrbill,SwissQrBillApplication,5,3,0,0,2,1,1,1,1,1
swiss-qrbill-enterprise,com.exata.swissqrbill.exception,QrBillException,0,25,0,0,0,10,0,4,0,4
swiss-qrbill-enterprise,com.exata.swissqrbill.exception,GlobalExceptionHandler,8,83,2,2,1,19,2,6,0,6
swiss-qrbill-enterprise,com.exata.swissqrbill.model,Address,21,45,0,0,8,13,1,13,1,13
swiss-qrbill-enterprise,com.exata.swissqrbill.model,ValidationError,0,9,0,0,0,1,0,1,0,1
swiss-qrbill-enterprise,com.exata.swissqrbill.model,ApiResponse,15,47,0,0,7,11,4,7,4,7
swiss-qrbill-enterprise,com.exata.swissqrbill.model,QrBillRequest,24,52,0,0,9,15,1,15,1,15
swiss-qrbill-enterprise,com.exata.swissqrbill.model,QrBillResponse,39,57,0,0,10,20,10,10,10,10
swiss-qrbill-enterprise,com.exata.swissqrbill.model,PaymentReference,9,17,0,0,4,5,1,5,1,5
swiss-qrbill-enterprise,com.exata.swissqrbill.controller,QrBillController,0,64,0,2,0,17,0,6,0,5
swiss-qrbill-enterprise,com.exata.swissqrbill.service,ValidationService,38,688,17,107,9,116,16,55,0,9
swiss-qrbill-enterprise,com.exata.swissqrbill.service,QrBillService,25,700,15,55,4,128,15,30,0,10
swiss-qrbill-enterprise,com.exata.swissqrbill.config,RateLimitFilter,150,0,16,0,42,0,17,0,9,0
swiss-qrbill-enterprise,com.exata.swissqrbill.config,CorsConfig,33,0,0,0,9,0,3,0,3,0
swiss-qrbill-enterprise,com.exata.swissqrbill.config,CorsConfig.new WebMvcConfigurer() {...},63,0,0,0,8,0,2,0,2,0
swiss-qrbill-enterprise,com.exata.swissqrbill.config,CorrelationFilter,4,26,3,1,0,9,2,2,0,2
